Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 63.0.3239.132,,2020-03-16 08:15:34,2020-03-16 08:34:31,18m - 56.473s,FAILED
,,,,,,
Test Cases/DMS/Test_POC/DMSTC-2920_CreateContractFromEventContentWithAPCLot,Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:21:48,6m - 12.982s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.076s,PASSED
"APCLOT_LOT = ""//tr[@awname='0.3::AWRefreshRegion']""",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.001s,PASSED
"APCLOT_CHILDITEM_LOC = ""//tr[@awname='0.3_0.3.1::AWRefreshRegion']""",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.000s,PASSED
"APCLINK_LOC = ""//a[@awname='0.3_RITASHORTSTRINGIFZ000003Computed Term::RITASHORTSTRINGIFZ000003:pricingInfoDisplay']""",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.000s,PASSED
"LOT_TERM_APC_PRICE_LOC = ""//input[@awname='_DerivedStringValue::PCCostTermView_DerivedStringValue:fieldValue']""",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.001s,PASSED
"EXPANDLOTBTN = ""//a[@awname='_Award_8_4_Award::AWTRowAttributeExpandoColumnRenderer:table.pivotState.toggleDetailAttributesExpanded']//div""",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.001s,PASSED
service = baseURL,Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.074s,PASSED
realm = realm,Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.001s,PASSED
"appLoginUrl = service + ""/Sourcing/Main?realm="" + realm",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.003s,PASSED
"userName = ""customersupportadmin""",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.002s,PASSED
"CW = ""ACPContractWithLot_"" + System.currentTimeMillis()",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.001s,PASSED
sourcingEvent = sourcingEvent + System.currentTimeMillis(),Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:15:35,0.002s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/LoginIntoApp""), [""appLoginUrl"":appLoginUrl, ""userName"":userName], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 08:15:35,2020-03-16 08:16:00,24.912s,PASSED
"sheetName = ""Shashi_pricingConditions""",Chrome 63.0.3239.132,,2020-03-16 08:16:00,2020-03-16 08:16:00,0.001s,PASSED
"dataTableName = ""Dataset8""",Chrome 63.0.3239.132,,2020-03-16 08:16:00,2020-03-16 08:16:00,0.000s,PASSED
"toggles = ""Toggles""",Chrome 63.0.3239.132,,2020-03-16 08:16:00,2020-03-16 08:16:00,0.001s,PASSED
"params = ""Parameters""",Chrome 63.0.3239.132,,2020-03-16 08:16:00,2020-03-16 08:16:00,0.000s,PASSED
"testData = new sourcing.util.ExcelTestDataUtil(sheetName, dataTableName)",Chrome 63.0.3239.132,,2020-03-16 08:16:00,2020-03-16 08:16:01,0.665s,PASSED
register = new sourcing.util.ExcelToggleParamStoreStrategy(),Chrome 63.0.3239.132,,2020-03-16 08:16:01,2020-03-16 08:16:01,0.009s,PASSED
registeredToggles = register.registerTogglesAndGetActualToEnable(testData.getTestDataForGivenColumn(toggles)),Chrome 63.0.3239.132,,2020-03-16 08:16:01,2020-03-16 08:16:02,0.670s,PASSED
registeredParams = register.registerParametersAndGetActualToEnable(testData.getTestDataForGivenColumn(params)),Chrome 63.0.3239.132,,2020-03-16 08:16:02,2020-03-16 08:16:02,0.043s,PASSED
"for ([i = 0, i < registeredToggles.size(), (i++)])",Chrome 63.0.3239.132,,2020-03-16 08:16:02,2020-03-16 08:16:02,0.001s,PASSED
"for ([i = 0, i < registeredParams.size(), (i++)])",Chrome 63.0.3239.132,,2020-03-16 08:16:02,2020-03-16 08:16:02,0.000s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/CreateSourcingEvent""), [""sourcingEvent"":sourcingEvent, ""eventType"":eventType, ""rfpEventTemplate"":rfpEventTemplate, ""eventContentFileName"":eventContentFileName, ... ], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 08:16:02,2020-03-16 08:19:15,3m - 13.718s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/a_Buyer Monitoring Page""))",Chrome 63.0.3239.132,,2020-03-16 08:19:15,2020-03-16 08:19:24,9.176s,PASSED
aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 08:19:24,2020-03-16 08:19:28,3.728s,PASSED
try,Chrome 63.0.3239.132,,2020-03-16 08:19:28,2020-03-16 08:19:35,7.168s,PASSED
try,Chrome 63.0.3239.132,,2020-03-16 08:19:35,2020-03-16 08:19:48,12.517s,FAILED
catch (Exception e),Chrome 63.0.3239.132,,2020-03-16 08:19:48,2020-03-16 08:19:48,0.008s,PASSED
expandPlus = aribakeywords.createTestObject(EXPANDLOTBTN),Chrome 63.0.3239.132,,2020-03-16 08:19:48,2020-03-16 08:19:48,0.003s,PASSED
"scrollToElement(expandPlus, 3)",Chrome 63.0.3239.132,,2020-03-16 08:19:48,2020-03-16 08:19:49,1.009s,PASSED
aribakeywords.aribaClick(expandPlus),Chrome 63.0.3239.132,,2020-03-16 08:19:49,2020-03-16 08:19:56,6.773s,PASSED
"verifyTextPresent(""View pricing conditions"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 08:19:56,2020-03-16 08:19:57,1.731s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/span_Contract_w-pulldown-icon""))",Chrome 63.0.3239.132,,2020-03-16 08:19:57,2020-03-16 08:20:05,7.357s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/form_Pricing trendsLoading...i""))",Chrome 63.0.3239.132,,2020-03-16 08:20:05,2020-03-16 08:20:12,7.364s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/label_Submit Initial Bid_w-rdo""))",Chrome 63.0.3239.132,,2020-03-16 08:20:12,2020-03-16 08:20:19,7.094s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/span_Create New Contract""))",Chrome 63.0.3239.132,,2020-03-16 08:20:19,2020-03-16 08:20:27,7.341s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/a_Contract Workspace (Procurem""))",Chrome 63.0.3239.132,,2020-03-16 08:20:27,2020-03-16 08:20:35,8.747s,PASSED
"setText(findTestObject(""Object Repository/input___ihgt1d""), CW)",Chrome 63.0.3239.132,,2020-03-16 08:20:35,2020-03-16 08:20:38,2.957s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/label_Yes_w-rdo w-rdo-dsize""))",Chrome 63.0.3239.132,,2020-03-16 08:20:38,2020-03-16 08:20:46,7.346s,PASSED
"setText(findTestObject(""Object Repository/input___1ymp9c""), ""06/16/2019"")",Chrome 63.0.3239.132,,2020-03-16 08:20:46,2020-03-16 08:20:48,2.168s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/a_commodity_code""), 5, OPTIONAL))",Chrome 63.0.3239.132,,2020-03-16 08:20:48,2020-03-16 08:21:00,11.832s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/label_SignTemplate154462011136""))",Chrome 63.0.3239.132,,2020-03-16 08:21:00,2020-03-16 08:21:07,7.295s,PASSED
"aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/span_Create""))",Chrome 63.0.3239.132,,2020-03-16 08:21:07,2020-03-16 08:21:18,10.754s,PASSED
"aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/span_Documents_w-pml-icon""))",Chrome 63.0.3239.132,,2020-03-16 08:21:18,2020-03-16 08:21:25,7.318s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/form_BackAlert ()CustomizeAnal""))",Chrome 63.0.3239.132,,2020-03-16 08:21:25,2020-03-16 08:21:34,8.757s,PASSED
aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 08:21:34,2020-03-16 08:21:36,2.050s,PASSED
driver = getWebDriver(),Chrome 63.0.3239.132,,2020-03-16 08:21:36,2020-03-16 08:21:36,0.000s,PASSED
lotSize = xpath(APCLOT_LOT)).size(),Chrome 63.0.3239.132,,2020-03-16 08:21:36,2020-03-16 08:21:36,0.451s,PASSED
"verifyMatch(lotSize.toString(), ""1"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 08:21:36,2020-03-16 08:21:36,0.005s,PASSED
