Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 63.0.3239.132,,2020-01-20 11:47:16,2020-01-20 12:03:56,16m - 39.440s,FAILED
,,,,,,
Test Cases/DMS/PricingConditionSupportForLots/DMSTC-2922_AppendContractFromEventContentHavingAPCLot,Chrome 63.0.3239.132,,2020-01-20 11:47:16,2020-01-20 12:03:55,16m - 38.721s,FAILED
"OPENCLID_LOC = ""//a[contains(@awname,'Open::AbstractDocumentDownloadIcon:itemAction')]""",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.001s,PASSED
"UPLOADDOC_LOC = ""ASCContentFrame:excelImportAction""",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.001s,PASSED
"EXCELIMPORT_LOC = ""ASPExcelImport:importExcelDocumentAction""",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.001s,PASSED
"OPENDOC_LOC = ""Open::AbstractDocumentDownloadIcon:itemAction""",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.000s,PASSED
"CONTENTITEMS_LOC = ""//table[@awname='displayGroup:tableBody']//tr[contains(@awname,'AWRefreshRegion')]""",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.000s,PASSED
"APPENDEDAPCLINK_LOC = ""//a[@awname='0.2_PRICEPrice::PRICE:pricingInfoDisplay' and text()='View pricing conditions ']""",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.000s,PASSED
service = baseURL,Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.049s,PASSED
realm = realm,Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.001s,PASSED
"appLoginUrl = service + ""/Sourcing/Main?realm="" + realm",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.001s,PASSED
CW = contractName + System.currentTimeMillis(),Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:17,0.001s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/LoginIntoApp""), [""appLoginUrl"":appLoginUrl, ""userName"":userName], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-01-20 11:47:17,2020-01-20 11:47:41,23.778s,PASSED
"aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/a_TA..""))",Chrome 63.0.3239.132,,2020-01-20 11:47:41,2020-01-20 11:47:48,7.780s,PASSED
"aribakeywords.aribaClick(findTestObject(""Page_TestCentralPage/Test Central ACM""))",Chrome 63.0.3239.132,,2020-01-20 11:47:48,2020-01-20 11:47:56,7.418s,PASSED
"scrollToElement(findTestObject(""Page_Ariba Spend Management/a_Create Workspace""), 3)",Chrome 63.0.3239.132,,2020-01-20 11:47:56,2020-01-20 11:47:57,1.067s,PASSED
"aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/a_Create Workspace""))",Chrome 63.0.3239.132,,2020-01-20 11:47:57,2020-01-20 11:48:04,7.515s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/input supplier cw""))",Chrome 63.0.3239.132,,2020-01-20 11:48:04,2020-01-20 11:48:12,7.663s,PASSED
"setText(findTestObject(""Object Repository/input supplier cw""), supplier)",Chrome 63.0.3239.132,,2020-01-20 11:48:12,2020-01-20 11:48:14,2.072s,PASSED
"setText(findTestObject(""Page_Ariba Spend Management/input_Name of Workspace__bdp8j""), CW)",Chrome 63.0.3239.132,,2020-01-20 11:48:14,2020-01-20 11:48:16,2.212s,PASSED
"setText(findTestObject(""Page_Ariba Spend Management/input_Name of Template__x1sbod""), contractTemplate)",Chrome 63.0.3239.132,,2020-01-20 11:48:16,2020-01-20 11:48:19,2.789s,PASSED
