Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 63.0.3239.132,,2020-03-16 11:24:36,2020-03-16 11:27:59,3m - 23.014s,ERROR
,,,,,,
Test Cases/DMS/PricingConditionSupportForLots - Copy/DMSTC-2916_EventContentSheetExport,Chrome 63.0.3239.132,,2020-03-16 11:24:36,2020-03-16 11:27:59,3m - 22.257s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.077s,PASSED
"APCRULE_LOC = ""//label[@awname='AllowAdvancedPricingConditions_selectedItem::AdvancedPricingConditionRuleView_AllowAdvancedPricingConditions:currChoice']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.002s,PASSED
"VALIDITYPERIOD_LOC = ""//div[@awname='AdvancedPricingConditionRule.ValidityPeriodType::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.ValidityPeriodType:itemList']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
"STARTDATE_LOC = ""//input[@awname='AdvancedPricingConditionRule.ValidityPeriodStartDate::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.ValidityPeriodStartDate:textFieldAction_1']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
"PERIOD_LOC = ""//input[@awname='AdvancedPricingConditionRule.ValidityPeriodDuration::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.ValidityPeriodDuration:fieldValue']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
"SCALETYPE_LOC = ""//div[@awname='AdvancedPricingConditionRule.VolumeScaleType::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.VolumeScaleType:itemList']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.000s,PASSED
"SCALE_LOC = ""//input[@awname='AdvancedPricingConditionRule.Volumes::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.Volumes:newEntry']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
"APCLOT_LOC = ""//tr[@awname='0.4::AWRefreshRegion']//a//b[text()='Basket Lot']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
"LOTCHILDITEM_LOC = ""//tr[@awname='0.4_0.4.1::AWRefreshRegion']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.002s,PASSED
"APCLINK_LOC = ""//a[@awname='0.4_RITASHORTSTRINGIFZ000002::RITASHORTSTRINGIFZ000002:pricingInfoDisplay']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
"LOT_TERM_APC_PRICE_LOC = ""//input[@awname='_DerivedStringValue::PCCostTermView_DerivedStringValue:fieldValue']""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
service = baseURL,Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.071s,PASSED
realm = realm,Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.000s,PASSED
"appLoginUrl = service + ""/Sourcing/Main?realm="" + realm",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.000s,PASSED
"userName = ""customersupportadmin""",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
sourcingEvent = sourcingEvent + System.currentTimeMillis(),Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:24:37,0.001s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/LoginIntoApp""), [""appLoginUrl"":appLoginUrl, ""userName"":userName], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 11:24:37,2020-03-16 11:25:04,26.984s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/CreateSourcingEvent""), [""sourcingEvent"":sourcingEvent, ""eventType"":eventType, ""rfpEventTemplate"":rfpEventTemplate, ""eventContentFileName"":eventContentFileName, ... ], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 11:25:04,2020-03-16 11:26:37,1m - 33.494s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/a_Buyer Monitoring Page""))",Chrome 63.0.3239.132,,2020-03-16 11:26:37,2020-03-16 11:26:46,9.010s,PASSED
aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 11:26:46,2020-03-16 11:26:48,1.883s,PASSED
refresh(),Chrome 63.0.3239.132,,2020-03-16 11:26:48,2020-03-16 11:26:49,0.895s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/button_action_draft""), 3)",Chrome 63.0.3239.132,,2020-03-16 11:26:49,2020-03-16 11:26:50,0.524s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/button_action_draft""))",Chrome 63.0.3239.132,,2020-03-16 11:26:50,2020-03-16 11:26:57,7.278s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/edit_event_link""))",Chrome 63.0.3239.132,,2020-03-16 11:26:57,2020-03-16 11:27:06,9.089s,PASSED
"verifyElementPresent(aribakeywords.createTestObject(APCRULE_LOC), 3, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 11:27:06,2020-03-16 11:27:07,0.525s,PASSED
